"","GRN","COAL","LAB","ID","beta","type","type2"
"315",0,0.8,1,8081210,0.8,"LAB.COAL.GRN","LAB.COAL.GRN"
"316",0,1,0.6,8225164,0.6,"COAL.LAB.GRN","COAL.LAB.GRN"
"317",0.818181818181818,0,1,8680607,0.818181818181818,"LAB.GRN.COAL","LAB.GRN.COAL"
"318",0.444444444444444,0,1,9038301,0.444444444444444,"LAB.GRN.COAL","LAB.GRN.COAL"
"319",1,0,0.272727272727273,3217628,0.272727272727273,"GRN.LAB.COAL","GRN.LAB.COAL"
"320",0.666666666666667,0,1,3433671,0.666666666666667,"LAB.GRN.COAL","LAB.GRN.COAL"
"321",0.157894736842105,0,1,3710032,0.157894736842105,"LAB.GRN.COAL","LAB.GRN.COAL"
"322",0,1,0.125,3755644,0.125,"COAL.LAB.GRN","COAL.LAB.GRN"
"323",0,1,0.153846153846154,3884176,0.153846153846154,"COAL.LAB.GRN","COAL.LAB.GRN"
"324",0.166666666666667,0,1,3917818,0.166666666666667,"LAB.GRN.COAL","LAB.GRN.COAL"
"325",0.888888888888889,0,1,4206497,0.888888888888889,"LAB.GRN.COAL","LAB.GRN.COAL"
"326",0,0.55,1,4608838,0.55,"LAB.COAL.GRN","LAB.COAL.GRN"
"327",0.222222222222222,1,0,4880392,0.222222222222222,"COAL.GRN.LAB","COAL.GRN.LAB"
"328",0,1,0.153846153846154,5212147,0.153846153846154,"COAL.LAB.GRN","COAL.LAB.GRN"
"329",0,0.5,1,5537207,0.5,"LAB.COAL.GRN","LAB.COAL.GRN"
"330",0,1,0.1,5548918,0.1,"COAL.LAB.GRN","COAL.LAB.GRN"
"331",0,0.5,1,5854373,0.5,"LAB.COAL.GRN","LAB.COAL.GRN"
"332",0,1,0.333333333333333,6906477,0.333333333333333,"COAL.LAB.GRN","COAL.LAB.GRN"
"333",0,1,0.666666666666667,6919604,0.666666666666667,"COAL.LAB.GRN","COAL.LAB.GRN"
"334",0,1,0.125,6967473,0.125,"COAL.LAB.GRN","COAL.LAB.GRN"
"335",0,1,0.133333333333333,7062171,0.133333333333333,"COAL.LAB.GRN","COAL.LAB.GRN"
"336",0,1,0.833333333333333,8057194,0.833333333333333,"COAL.LAB.GRN","COAL.LAB.GRN"
"337",0,1,0.5,8215736,0.5,"COAL.LAB.GRN","COAL.LAB.GRN"
"338",0,1,0.285714285714286,8793291,0.285714285714286,"COAL.LAB.GRN","COAL.LAB.GRN"
"339",0.8,1,0,9068983,0.8,"COAL.GRN.LAB","COAL.GRN.LAB"
"340",0,1,0.909090909090909,9776450,0.909090909090909,"COAL.LAB.GRN","COAL.LAB.GRN"
"341",0,1,0.333333333333333,9776487,0.333333333333333,"COAL.LAB.GRN","COAL.LAB.GRN"
"342",0,1,0.631578947368421,5137648,0.631578947368421,"COAL.LAB.GRN","COAL.LAB.GRN"
"343",0.6,0,1,5214715,0.6,"LAB.GRN.COAL","LAB.GRN.COAL"
"344",0.454545454545455,0,1,5332874,0.454545454545455,"LAB.GRN.COAL","LAB.GRN.COAL"
"345",0.6,0,1,8692952,0.6,"LAB.GRN.COAL","LAB.GRN.COAL"
"346",0.272727272727273,0,1,8762083,0.272727272727273,"LAB.GRN.COAL","LAB.GRN.COAL"
"347",0.538461538461538,0,1,8767630,0.538461538461538,"LAB.GRN.COAL","LAB.GRN.COAL"
"348",0,1,0.111111111111111,8783015,0.111111111111111,"COAL.LAB.GRN","COAL.LAB.GRN"
"349",0.5,1,0,8860565,0.5,"COAL.GRN.LAB","COAL.GRN.LAB"
"350",0,0.25,1,8919085,0.25,"LAB.COAL.GRN","LAB.COAL.GRN"
"351",0,0.833333333333333,1,8953028,0.833333333333333,"LAB.COAL.GRN","LAB.COAL.GRN"
"352",0,1,0.333333333333333,9061445,0.333333333333333,"COAL.LAB.GRN","COAL.LAB.GRN"
"353",0,1,0.444444444444444,9667194,0.444444444444444,"COAL.LAB.GRN","COAL.LAB.GRN"
"354",0,0.0555555555555556,1,9695564,0.0555555555555556,"LAB.COAL.GRN","LAB.COAL.GRN"
"355",0,1,0.333333333333333,3754057,0.333333333333333,"COAL.LAB.GRN","COAL.LAB.GRN"
"356",0.571428571428571,1,0,5064707,0.571428571428571,"COAL.GRN.LAB","COAL.GRN.LAB"
"357",0,1,0.615384615384615,5171618,0.615384615384615,"COAL.LAB.GRN","COAL.LAB.GRN"
"358",0.875,0,1,5293862,0.875,"LAB.GRN.COAL","LAB.GRN.COAL"
"359",0.4,1,0,5340605,0.4,"COAL.GRN.LAB","COAL.GRN.LAB"
"360",1,0,0.8,5504475,0.8,"GRN.LAB.COAL","GRN.LAB.COAL"
"361",0,1,0.470588235294118,5510538,0.470588235294118,"COAL.LAB.GRN","COAL.LAB.GRN"
"362",0,1,0.428571428571429,5511467,0.428571428571429,"COAL.LAB.GRN","COAL.LAB.GRN"
"363",0.4,0,1,5610886,0.4,"LAB.GRN.COAL","LAB.GRN.COAL"
"364",0,1,0.3,5643146,0.3,"COAL.LAB.GRN","COAL.LAB.GRN"
